hidden_size	num_epochs	reg	batch_size	momentum	learning_rate_decay	learning_rate	best_train	best_val
150.0	30.0	0.1	400.0	0.9	0.95	8e-05	0.594	0.531
150.0	40.0	0.1	600.0	0.9	0.95	8e-05	0.585	0.508
150.0	40.0	0.1	600.0	0.9	0.95	8e-05	0.596	0.519
150.0	40.0	0.1	600.0	0.9	0.95	8e-05	0.5820000000000001	0.516
150.0	40.0	0.1	600.0	0.9	0.95	0.00012	0.619	0.547
150.0	40.0	0.1	600.0	0.9	0.95	0.00011999999999999999	0.621	0.54
150.0	40.0	0.1	600.0	0.9	0.95	0.00012	0.622	0.5479999999999999
150.0	40.0	0.1	1000.0	0.9	0.95	0.00011999999999999999	0.5660000000000001	0.521
150.0	40.0	0.15	600.0	0.9	0.95	0.00012	0.635	0.5379999999999999
150.0	40.0	0.15	1000.0	0.9	0.95	0.00011999999999999999	0.556	0.503
150.0	40.0	0.1	600.0	0.9	0.95	0.00018	0.674	0.562
150.0	40.0	0.1	1000.0	0.9	0.95	0.00011999999999999999	0.557	0.52
150.0	40.0	0.15	1000.0	0.9	0.95	0.00012	0.556	0.513
150.0	1.0	0.1	600.0	0.9	0.95	0.00018	0.22399999999999998	0.243
150.0	1.0	0.1	600.0	0.9	0.95	0.00018	0.236	0.248
150.0	1.0	0.1	600.0	0.9	0.95	0.00018	0.23399999999999999	0.24
150.0	1.0	0.1	600.0	0.9	0.95	0.00018	0.246	0.246
150.0	1.0	0.1	600.0	0.9	0.95	0.00018	0.19399999999999998	0.217
150.0	1.0	0.1	600.0	0.9	0.95	0.00018	0.228	0.245
150.0	3.0	0.1	600.0	0.9	0.95	0.00018	0.409	0.405
150.0	3.0	0.1	600.0	0.9	0.95	0.00018	0.425	0.418
150.0	3.0	0.1	600.0	0.9	0.95	0.00018	0.41100000000000003	0.41600000000000004
150.0	3.0	0.1	600.0	0.9	0.95	0.00018	0.425	0.415
150.0	3.0	0.1	600.0	0.9	0.95	0.00018	0.435	0.396
150.0	3.0	0.1	600.0	0.9	0.95	0.00018	0.42	0.425
150.0	3.0	0.1	600.0	0.9	0.95	0.00018	0.406	0.405
150.0	3.0	0.1	600.0	0.9	0.95	0.00018	0.399	0.412
150.0	3.0	0.1	600.0	0.9	0.95	0.00018	0.40399999999999997	0.41200000000000003
150.0	1.0	0.1	600.0	0.9	0.95	0.00018	0.23	0.248
150.0	1.0	0.1	600.0	0.9	0.95	0.00018	0.272	0.249
150.0	1.0	0.1	600.0	0.9	0.95	0.00018	0.234	0.238
150.0	3.0	0.1	600.0	0.9	0.95	0.00018	0.419	0.414
150.0	3.0	0.1	600.0	0.9	0.95	0.00018	0.391	0.406
150.0	3.0	0.1	600.0	0.9	0.95	0.00018	0.424	0.40700000000000003
150.0	3.0	0.1	600.0	0.9	0.95	0.00018	0.401	0.4
150.0	3.0	0.1	600.0	0.9	0.95	0.00018	0.41200000000000003	0.415
150.0	3.0	0.1	600.0	0.9	0.95	0.00018	0.4	0.413
